index,LAUS,FIPS_state,FIPS_county,county_state,year,labor_force,employed,unemployed,unemployment_rate,county,state
0,CN0100100000000,1.0,1.0,"Autauga County, AL",2003,22604.0,21462.0,1142.0,5.1,Autauga , AL
1,CN0100300000000,1.0,3.0,"Baldwin County, AL",2003,72299.0,68702.0,3597.0,5.0,Baldwin , AL
2,CN0100500000000,1.0,5.0,"Barbour County, AL",2003,10977.0,10196.0,781.0,7.1,Barbour , AL
3,CN0100700000000,1.0,7.0,"Bibb County, AL",2003,8836.0,8309.0,527.0,6.0,Bibb , AL
4,CN0100900000000,1.0,9.0,"Blount County, AL",2003,25900.0,24702.0,1198.0,4.6,Blount , AL
5,CN0101100000000,1.0,11.0,"Bullock County, AL",2003,3979.0,3540.0,439.0,11.0,Bullock , AL
6,CN0101300000000,1.0,13.0,"Butler County, AL",2003,9183.0,8386.0,797.0,8.7,Butler , AL
7,CN0101500000000,1.0,15.0,"Calhoun County, AL",2003,52817.0,49673.0,3144.0,6.0,Calhoun , AL
8,CN0101700000000,1.0,17.0,"Chambers County, AL",2003,16829.0,15745.0,1084.0,6.4,Chambers , AL
9,CN0101900000000,1.0,19.0,"Cherokee County, AL",2003,11929.0,11342.0,587.0,4.9,Cherokee , AL
10,CN0102100000000,1.0,21.0,"Chilton County, AL",2003,19478.0,18499.0,979.0,5.0,Chilton , AL
11,CN0102300000000,1.0,23.0,"Choctaw County, AL",2003,5651.0,5085.0,566.0,10.0,Choctaw , AL
12,CN0102500000000,1.0,25.0,"Clarke County, AL",2003,10769.0,9839.0,930.0,8.6,Clarke , AL
13,CN0102700000000,1.0,27.0,"Clay County, AL",2003,5923.0,5492.0,431.0,7.3,Clay , AL
14,CN0102900000000,1.0,29.0,"Cleburne County, AL",2003,6672.0,6267.0,405.0,6.1,Cleburne , AL
15,CN0103100000000,1.0,31.0,"Coffee County, AL",2003,19932.0,18834.0,1098.0,5.5,Coffee , AL
16,CN0103300000000,1.0,33.0,"Colbert County, AL",2003,24562.0,22720.0,1842.0,7.5,Colbert , AL
17,CN0103500000000,1.0,35.0,"Conecuh County, AL",2003,5149.0,4707.0,442.0,8.6,Conecuh , AL
18,CN0103700000000,1.0,37.0,"Coosa County, AL",2003,5056.0,4641.0,415.0,8.2,Coosa , AL
19,CN0103900000000,1.0,39.0,"Covington County, AL",2003,17322.0,16110.0,1212.0,7.0,Covington , AL
20,CN0104100000000,1.0,41.0,"Crenshaw County, AL",2003,5920.0,5517.0,403.0,6.8,Crenshaw , AL
21,CN0104300000000,1.0,43.0,"Cullman County, AL",2003,38276.0,36045.0,2231.0,5.8,Cullman , AL
22,CN0104500000000,1.0,45.0,"Dale County, AL",2003,20546.0,19457.0,1089.0,5.3,Dale , AL
23,CN0104700000000,1.0,47.0,"Dallas County, AL",2003,16783.0,14878.0,1905.0,11.4,Dallas , AL
24,CN0104900000000,1.0,49.0,"DeKalb County, AL",2003,32218.0,30363.0,1855.0,5.8,DeKalb , AL
25,CN0105100000000,1.0,51.0,"Elmore County, AL",2003,32603.0,30929.0,1674.0,5.1,Elmore , AL
26,CN0105300000000,1.0,53.0,"Escambia County, AL",2003,14644.0,13379.0,1265.0,8.6,Escambia , AL
27,CN0105500000000,1.0,55.0,"Etowah County, AL",2003,46388.0,43351.0,3037.0,6.5,Etowah , AL
28,CN0105700000000,1.0,57.0,"Fayette County, AL",2003,8048.0,7490.0,558.0,6.9,Fayette , AL
29,CN0105900000000,1.0,59.0,"Franklin County, AL",2003,13561.0,12265.0,1296.0,9.6,Franklin , AL
30,CN0106100000000,1.0,61.0,"Geneva County, AL",2003,11722.0,11065.0,657.0,5.6,Geneva , AL
31,CN0106300000000,1.0,63.0,"Greene County, AL",2003,3504.0,3205.0,299.0,8.5,Greene , AL
32,CN0106500000000,1.0,65.0,"Hale County, AL",2003,7086.0,6485.0,601.0,8.5,Hale , AL
33,CN0106700000000,1.0,67.0,"Henry County, AL",2003,7494.0,7059.0,435.0,5.8,Henry , AL
34,CN0106900000000,1.0,69.0,"Houston County, AL",2003,45185.0,42984.0,2201.0,4.9,Houston , AL
35,CN0107100000000,1.0,71.0,"Jackson County, AL",2003,27187.0,25272.0,1915.0,7.0,Jackson , AL
36,CN0107300000000,1.0,73.0,"Jefferson County, AL",2003,321042.0,303282.0,17760.0,5.5,Jefferson , AL
37,CN0107500000000,1.0,75.0,"Lamar County, AL",2003,6691.0,6104.0,587.0,8.8,Lamar , AL
38,CN0107700000000,1.0,77.0,"Lauderdale County, AL",2003,41196.0,38184.0,3012.0,7.3,Lauderdale , AL
39,CN0107900000000,1.0,79.0,"Lawrence County, AL",2003,15788.0,14728.0,1060.0,6.7,Lawrence , AL
