index,LAUS,FIPS_state,FIPS_county,year,labor_force,employed,unemployed,unemployment_rate,county,state,geoid
0,CN0100100000000,01,001,2004,23218.0,22103.0,1115.0,4.8,Autauga , AL,01001
1,CN0100300000000,01,003,2004,74772.0,70919.0,3853.0,5.2,Baldwin , AL,01003
2,CN0100500000000,01,005,2004,10633.0,9865.0,768.0,7.2,Barbour , AL,01005
3,CN0100700000000,01,007,2004,8843.0,8359.0,484.0,5.5,Bibb , AL,01007
4,CN0100900000000,01,009,2004,26208.0,25101.0,1107.0,4.2,Blount , AL,01009
5,CN0101100000000,01,011,2004,3880.0,3430.0,450.0,11.6,Bullock , AL,01011
6,CN0101300000000,01,013,2004,9088.0,8224.0,864.0,9.5,Butler , AL,01013
7,CN0101500000000,01,015,2004,54026.0,51065.0,2961.0,5.5,Calhoun , AL,01015
8,CN0101700000000,01,017,2004,16607.0,15438.0,1169.0,7.0,Chambers , AL,01017
9,CN0101900000000,01,019,2004,12058.0,11478.0,580.0,4.8,Cherokee , AL,01019
10,CN0102100000000,01,021,2004,19630.0,18702.0,928.0,4.7,Chilton , AL,01021
11,CN0102300000000,01,023,2004,5462.0,4992.0,470.0,8.6,Choctaw , AL,01023
12,CN0102500000000,01,025,2004,10391.0,9464.0,927.0,8.9,Clarke , AL,01025
13,CN0102700000000,01,027,2004,5891.0,5515.0,376.0,6.4,Clay , AL,01027
14,CN0102900000000,01,029,2004,6682.0,6327.0,355.0,5.3,Cleburne , AL,01029
15,CN0103100000000,01,031,2004,20221.0,19136.0,1085.0,5.4,Coffee , AL,01031
16,CN0103300000000,01,033,2004,24751.0,22986.0,1765.0,7.1,Colbert , AL,01033
17,CN0103500000000,01,035,2004,5061.0,4630.0,431.0,8.5,Conecuh , AL,01035
18,CN0103700000000,01,037,2004,4911.0,4560.0,351.0,7.1,Coosa , AL,01037
19,CN0103900000000,01,039,2004,17171.0,16019.0,1152.0,6.7,Covington , AL,01039
20,CN0104100000000,01,041,2004,5818.0,5418.0,400.0,6.9,Crenshaw , AL,01041
21,CN0104300000000,01,043,2004,38483.0,36472.0,2011.0,5.2,Cullman , AL,01043
22,CN0104500000000,01,045,2004,20505.0,19401.0,1104.0,5.4,Dale , AL,01045
23,CN0104700000000,01,047,2004,16375.0,14726.0,1649.0,10.1,Dallas , AL,01047
24,CN0104900000000,01,049,2004,32051.0,30191.0,1860.0,5.8,DeKalb , AL,01049
25,CN0105100000000,01,051,2004,33284.0,31657.0,1627.0,4.9,Elmore , AL,01051
26,CN0105300000000,01,053,2004,14306.0,13217.0,1089.0,7.6,Escambia , AL,01053
27,CN0105500000000,01,055,2004,47170.0,44143.0,3027.0,6.4,Etowah , AL,01055
28,CN0105700000000,01,057,2004,7876.0,7329.0,547.0,6.9,Fayette , AL,01057
29,CN0105900000000,01,059,2004,13443.0,12503.0,940.0,7.0,Franklin , AL,01059
30,CN0106100000000,01,061,2004,11688.0,11110.0,578.0,4.9,Geneva , AL,01061
31,CN0106300000000,01,063,2004,3484.0,3178.0,306.0,8.8,Greene , AL,01063
32,CN0106500000000,01,065,2004,7049.0,6516.0,533.0,7.6,Hale , AL,01065
33,CN0106700000000,01,067,2004,7548.0,7122.0,426.0,5.6,Henry , AL,01067
34,CN0106900000000,01,069,2004,45913.0,43753.0,2160.0,4.7,Houston , AL,01069
35,CN0107100000000,01,071,2004,27035.0,25181.0,1854.0,6.9,Jackson , AL,01071
36,CN0107300000000,01,073,2004,320336.0,303284.0,17052.0,5.3,Jefferson , AL,01073
37,CN0107500000000,01,075,2004,6382.0,5856.0,526.0,8.2,Lamar , AL,01075
38,CN0107700000000,01,077,2004,41360.0,38702.0,2658.0,6.4,Lauderdale , AL,01077
39,CN0107900000000,01,079,2004,15990.0,14963.0,1027.0,6.4,Lawrence , AL,01079
40,CN0108100000000,01,081,2004,62500.0,59700.0,2800.0,4.5,Lee , AL,01081
41,CN0108300000000,01,083,2004,34650.0,32858.0,1792.0,5.2,Limestone , AL,01083
42,CN0108500000000,01,085,2004,4965.0,4503.0,462.0,9.3,Lowndes , AL,01085
43,CN0108700000000,01,087,2004,8618.0,8016.0,602.0,7.0,Macon , AL,01087
44,CN0108900000000,01,089,2004,157604.0,150260.0,7344.0,4.7,Madison , AL,01089
45,CN0109100000000,01,091,2004,8848.0,8303.0,545.0,6.2,Marengo , AL,01091
46,CN0109300000000,01,093,2004,13321.0,12468.0,853.0,6.4,Marion , AL,01093
47,CN0109500000000,01,095,2004,41572.0,39543.0,2029.0,4.9,Marshall , AL,01095
48,CN0109700000000,01,097,2004,178915.0,167153.0,11762.0,6.6,Mobile , AL,01097
49,CN0109900000000,01,099,2004,9706.0,8976.0,730.0,7.5,Monroe , AL,01099
50,CN0110100000000,01,101,2004,104751.0,98692.0,6059.0,5.8,Montgomery , AL,01101
51,CN0110300000000,01,103,2004,55996.0,52576.0,3420.0,6.1,Morgan , AL,01103
52,CN0110500000000,01,105,2004,3697.0,3320.0,377.0,10.2,Perry , AL,01105
53,CN0110700000000,01,107,2004,8027.0,7416.0,611.0,7.6,Pickens , AL,01107
54,CN0110900000000,01,109,2004,15084.0,14268.0,816.0,5.4,Pike , AL,01109
55,CN0111100000000,01,111,2004,10046.0,9367.0,679.0,6.8,Randolph , AL,01111
56,CN0111300000000,01,113,2004,21356.0,19950.0,1406.0,6.6,Russell , AL,01113
57,CN0111500000000,01,115,2004,33092.0,31429.0,1663.0,5.0,St. Clair , AL,01115
58,CN0111700000000,01,117,2004,91524.0,88411.0,3113.0,3.4,Shelby , AL,01117
59,CN0111900000000,01,119,2004,4974.0,4498.0,476.0,9.6,Sumter , AL,01119
60,CN0112100000000,01,121,2004,38820.0,36178.0,2642.0,6.8,Talladega , AL,01121
61,CN0112300000000,01,123,2004,18367.0,17222.0,1145.0,6.2,Tallapoosa , AL,01123
62,CN0112500000000,01,125,2004,83274.0,79315.0,3959.0,4.8,Tuscaloosa , AL,01125
63,CN0112700000000,01,127,2004,30156.0,28306.0,1850.0,6.1,Walker , AL,01127
64,CN0112900000000,01,129,2004,6937.0,6273.0,664.0,9.6,Washington , AL,01129
65,CN0113100000000,01,131,2004,3726.0,3276.0,450.0,12.1,Wilcox , AL,01131
66,CN0113300000000,01,133,2004,10337.0,9580.0,757.0,7.3,Winston , AL,01133
67,CN0201300000000,02,013,2004,1112.0,1016.0,96.0,8.6,Aleutians East Borough, AK,02013
68,CN0201600000000,02,016,2004,3069.0,2870.0,199.0,6.5,Aleutians West Census Area, AK,02016
69,CN0202000000000,02,020,2004,146277.0,137591.0,8686.0,5.9,Anchorage Borough/municipality, AK,02020
70,CN0205000000000,02,050,2004,7004.0,6116.0,888.0,12.7,Bethel Census Area, AK,02050
71,CN0206000000000,02,060,2004,1040.0,974.0,66.0,6.3,Bristol Bay Borough, AK,02060
72,CN0206800000000,02,068,2004,1516.0,1396.0,120.0,7.9,Denali Borough, AK,02068
73,CN0207000000000,02,070,2004,2049.0,1826.0,223.0,10.9,Dillingham Census Area, AK,02070
