index,LAUS,FIPS_state,FIPS_county,county_state,year,labor_force,employed,unemployed,unemployment_rate,county,state
813,CN1905500000000,19.0,55.0,"Delaware County, IA",2005,10443,9984,459,4.4,Delaware , IA
814,CN1905700000000,19.0,57.0,"Des Moines County, IA",2005,20863,19732,1131,5.4,Des Moines , IA
815,CN1905900000000,19.0,59.0,"Dickinson County, IA",2005,10164,9728,436,4.3,Dickinson , IA
816,CN1906100000000,19.0,61.0,"Dubuque County, IA",2005,50793,48597,2196,4.3,Dubuque , IA
817,CN1906300000000,19.0,63.0,"Emmet County, IA",2005,5944,5682,262,4.4,Emmet , IA
818,CN1906500000000,19.0,65.0,"Fayette County, IA",2005,11079,10524,555,5,Fayette , IA
819,CN1906700000000,19.0,67.0,"Floyd County, IA",2005,8813,8370,443,5,Floyd , IA
820,CN1906900000000,19.0,69.0,"Franklin County, IA",2005,5718,5451,267,4.7,Franklin , IA
821,CN1907100000000,19.0,71.0,"Fremont County, IA",2005,3947,3790,157,4,Fremont , IA
822,CN1907300000000,19.0,73.0,"Greene County, IA",2005,5056,4824,232,4.6,Greene , IA
823,CN1907500000000,19.0,75.0,"Grundy County, IA",2005,6876,6617,259,3.8,Grundy , IA
824,CN1907700000000,19.0,77.0,"Guthrie County, IA",2005,6116,5861,255,4.2,Guthrie , IA
825,CN1907900000000,19.0,79.0,"Hamilton County, IA",2005,8671,8335,336,3.9,Hamilton , IA
826,CN1908100000000,19.0,81.0,"Hancock County, IA",2005,6332,6045,287,4.5,Hancock , IA
827,CN1908300000000,19.0,83.0,"Hardin County, IA",2005,8944,8521,423,4.7,Hardin , IA
828,CN1908500000000,19.0,85.0,"Harrison County, IA",2005,8066,7689,377,4.7,Harrison , IA
829,CN1908700000000,19.0,87.0,"Henry County, IA",2005,10490,9971,519,4.9,Henry , IA
830,CN1908900000000,19.0,89.0,"Howard County, IA",2005,5196,4968,228,4.4,Howard , IA
831,CN1909100000000,19.0,91.0,"Humboldt County, IA",2005,5190,4999,191,3.7,Humboldt , IA
832,CN1909300000000,19.0,93.0,"Ida County, IA",2005,3923,3767,156,4,Ida , IA
833,CN1909500000000,19.0,95.0,"Iowa County, IA",2005,8819,8431,388,4.4,Iowa , IA
834,CN1909700000000,19.0,97.0,"Jackson County, IA",2005,11183,10593,590,5.3,Jackson , IA
835,CN1909900000000,19.0,99.0,"Jasper County, IA",2005,18644,17551,1093,5.9,Jasper , IA
836,CN1910100000000,19.0,101.0,"Jefferson County, IA",2005,8287,7903,384,4.6,Jefferson , IA
837,CN1910300000000,19.0,103.0,"Johnson County, IA",2005,73815,71497,2318,3.1,Johnson , IA
838,CN1910500000000,19.0,105.0,"Jones County, IA",2005,10423,9927,496,4.8,Jones , IA
839,CN1910700000000,19.0,107.0,"Keokuk County, IA",2005,5815,5539,276,4.7,Keokuk , IA
840,CN1910900000000,19.0,109.0,"Kossuth County, IA",2005,8883,8529,354,4,Kossuth , IA
841,CN1911100000000,19.0,111.0,"Lee County, IA",2005,17402,16262,1140,6.6,Lee , IA
842,CN1911300000000,19.0,113.0,"Linn County, IA",2005,113248,108404,4844,4.3,Linn , IA
843,CN1911500000000,19.0,115.0,"Louisa County, IA",2005,6259,5984,275,4.4,Louisa , IA
844,CN1911700000000,19.0,117.0,"Lucas County, IA",2005,4838,4588,250,5.2,Lucas , IA
845,CN1911900000000,19.0,119.0,"Lyon County, IA",2005,6452,6264,188,2.9,Lyon , IA
846,CN1912100000000,19.0,121.0,"Madison County, IA",2005,8141,7771,370,4.5,Madison , IA
847,CN1912300000000,19.0,123.0,"Mahaska County, IA",2005,11647,11149,498,4.3,Mahaska , IA
848,CN1912500000000,19.0,125.0,"Marion County, IA",2005,17599,16904,695,3.9,Marion , IA
849,CN1912700000000,19.0,127.0,"Marshall County, IA",2005,20482,19505,977,4.8,Marshall , IA
850,CN1912900000000,19.0,129.0,"Mills County, IA",2005,8177,7845,332,4.1,Mills , IA
851,CN1913100000000,19.0,131.0,"Mitchell County, IA",2005,5347,5120,227,4.2,Mitchell , IA
852,CN1913300000000,19.0,133.0,"Monona County, IA",2005,4712,4443,269,5.7,Monona , IA
853,CN1913500000000,19.0,135.0,"Monroe County, IA",2005,3873,3678,195,5,Monroe , IA
854,CN1913700000000,19.0,137.0,"Montgomery County, IA",2005,5853,5599,254,4.3,Montgomery , IA
855,CN1913900000000,19.0,139.0,"Muscatine County, IA",2005,23383,22478,905,3.9,Muscatine , IA
856,CN1914100000000,19.0,141.0,"O'Brien County, IA",2005,7600,7312,288,3.8,O'Brien , IA
857,CN1914300000000,19.0,143.0,"Osceola County, IA",2005,3439,3303,136,4,Osceola , IA
858,CN1914500000000,19.0,145.0,"Page County, IA",2005,8118,7807,311,3.8,Page , IA
859,CN1914700000000,19.0,147.0,"Palo Alto County, IA",2005,5100,4898,202,4,Palo Alto , IA
860,CN1914900000000,19.0,149.0,"Plymouth County, IA",2005,14087,13594,493,3.5,Plymouth , IA
861,CN1915100000000,19.0,151.0,"Pocahontas County, IA",2005,3862,3702,160,4.1,Pocahontas , IA
862,CN1915300000000,19.0,153.0,"Polk County, IA",2005,227980,218864,9116,4,Polk , IA
863,CN1915500000000,19.0,155.0,"Pottawattamie County, IA",2005,48658,46274,2384,4.9,Pottawattamie , IA
864,CN1915700000000,19.0,157.0,"Poweshiek County, IA",2005,10271,9800,471,4.6,Poweshiek , IA
865,CN1915900000000,19.0,159.0,"Ringgold County, IA",2005,2428,2317,111,4.6,Ringgold , IA
866,CN1916100000000,19.0,161.0,"Sac County, IA",2005,5757,5531,226,3.9,Sac , IA
867,CN1916300000000,19.0,163.0,"Scott County, IA",2005,88136,84230,3906,4.4,Scott , IA
868,CN1916500000000,19.0,165.0,"Shelby County, IA",2005,7069,6807,262,3.7,Shelby , IA
869,CN1916700000000,19.0,167.0,"Sioux County, IA",2005,18840,18293,547,2.9,Sioux , IA
870,CN1916900000000,19.0,169.0,"Story County, IA",2005,46922,45500,1422,3,Story , IA
871,CN1917100000000,19.0,171.0,"Tama County, IA",2005,8980,8482,498,5.5,Tama , IA
872,CN1917300000000,19.0,173.0,"Taylor County, IA",2005,3365,3237,128,3.8,Taylor , IA
873,CN1917500000000,19.0,175.0,"Union County, IA",2005,6339,6026,313,4.9,Union , IA
874,CN1917700000000,19.0,177.0,"Van Buren County, IA",2005,3812,3616,196,5.1,Van Buren , IA
875,CN1917900000000,19.0,179.0,"Wapello County, IA",2005,19153,18109,1044,5.5,Wapello , IA
876,CN1918100000000,19.0,181.0,"Warren County, IA",2005,24600,23699,901,3.7,Warren , IA
877,CN1918300000000,19.0,183.0,"Washington County, IA",2005,12251,11792,459,3.7,Washington , IA
878,CN1918500000000,19.0,185.0,"Wayne County, IA",2005,3166,3020,146,4.6,Wayne , IA
879,CN1918700000000,19.0,187.0,"Webster County, IA",2005,19705,18862,843,4.3,Webster , IA
880,CN1918900000000,19.0,189.0,"Winnebago County, IA",2005,5953,5682,271,4.6,Winnebago , IA
881,CN1919100000000,19.0,191.0,"Winneshiek County, IA",2005,12433,11913,520,4.2,Winneshiek , IA
882,CN1919300000000,19.0,193.0,"Woodbury County, IA",2005,53329,50751,2578,4.8,Woodbury , IA
883,CN1919500000000,19.0,195.0,"Worth County, IA",2005,4611,4399,212,4.6,Worth , IA
884,CN1919700000000,19.0,197.0,"Wright County, IA",2005,7153,6849,304,4.2,Wright , IA
885,CN2000100000000,20.0,1.0,"Allen County, KS",2005,7195,6810,385,5.4,Allen , KS
886,CN2000300000000,20.0,3.0,"Anderson County, KS",2005,4039,3800,239,5.9,Anderson , KS
887,CN2000500000000,20.0,5.0,"Atchison County, KS",2005,8677,8202,475,5.5,Atchison , KS
888,CN2000700000000,20.0,7.0,"Barber County, KS",2005,2601,2506,95,3.7,Barber , KS
889,CN2000900000000,20.0,9.0,"Barton County, KS",2005,14792,14199,593,4,Barton , KS
890,CN2001100000000,20.0,11.0,"Bourbon County, KS",2005,8679,8243,436,5,Bourbon , KS
891,CN2001300000000,20.0,13.0,"Brown County, KS",2005,5601,5332,269,4.8,Brown , KS
892,CN2001500000000,20.0,15.0,"Butler County, KS",2005,32038,30277,1761,5.5,Butler , KS
893,CN2001700000000,20.0,17.0,"Chase County, KS",2005,1688,1619,69,4.1,Chase , KS
894,CN2001900000000,20.0,19.0,"Chautauqua County, KS",2005,1965,1861,104,5.3,Chautauqua , KS
895,CN2002100000000,20.0,21.0,"Cherokee County, KS",2005,10896,10194,702,6.4,Cherokee , KS
896,CN2002300000000,20.0,23.0,"Cheyenne County, KS",2005,1539,1470,69,4.5,Cheyenne , KS
897,CN2002500000000,20.0,25.0,"Clark County, KS",2005,1181,1140,41,3.5,Clark , KS
898,CN2002700000000,20.0,27.0,"Clay County, KS",2005,4873,4674,199,4.1,Clay , KS
899,CN2002900000000,20.0,29.0,"Cloud County, KS",2005,5687,5472,215,3.8,Cloud , KS
900,CN2003100000000,20.0,31.0,"Coffey County, KS",2005,5154,4867,287,5.6,Coffey , KS
901,CN2003300000000,20.0,33.0,"Comanche County, KS",2005,1074,1043,31,2.9,Comanche , KS
902,CN2003500000000,20.0,35.0,"Cowley County, KS",2005,17755,16779,976,5.5,Cowley , KS
903,CN2003700000000,20.0,37.0,"Crawford County, KS",2005,19439,18327,1112,5.7,Crawford , KS
904,CN2003900000000,20.0,39.0,"Decatur County, KS",2005,1699,1642,57,3.4,Decatur , KS
905,CN2004100000000,20.0,41.0,"Dickinson County, KS",2005,10544,10071,473,4.5,Dickinson , KS
906,CN2004300000000,20.0,43.0,"Doniphan County, KS",2005,4436,4158,278,6.3,Doniphan , KS
907,CN2004500000000,20.0,45.0,"Douglas County, KS",2005,63186,60679,2507,4,Douglas , KS
908,CN2004700000000,20.0,47.0,"Edwards County, KS",2005,1787,1727,60,3.4,Edwards , KS
909,CN2004900000000,20.0,49.0,"Elk County, KS",2005,1452,1372,80,5.5,Elk , KS
910,CN2005100000000,20.0,51.0,"Ellis County, KS",2005,16637,16076,561,3.4,Ellis , KS
911,CN2005300000000,20.0,53.0,"Ellsworth County, KS",2005,3398,3265,133,3.9,Ellsworth , KS
