index,LAUS,FIPS_state,FIPS_county,year,labor_force,employed,unemployed,unemployment_rate,county,state,geoid
0,CN0100100000000,01,001,2007,24383.0,23577.0,806.0,3.3,Autauga , AL,01001
1,CN0100300000000,01,003,2007,82659.0,80099.0,2560.0,3.1,Baldwin , AL,01003
2,CN0100500000000,01,005,2007,10334.0,9684.0,650.0,6.3,Barbour , AL,01005
3,CN0100700000000,01,007,2007,8791.0,8432.0,359.0,4.1,Bibb , AL,01007
4,CN0100900000000,01,009,2007,26629.0,25780.0,849.0,3.2,Blount , AL,01009
5,CN0101100000000,01,011,2007,3653.0,3308.0,345.0,9.4,Bullock , AL,01011
6,CN0101300000000,01,013,2007,9099.0,8539.0,560.0,6.2,Butler , AL,01013
7,CN0101500000000,01,015,2007,54861.0,52709.0,2152.0,3.9,Calhoun , AL,01015
8,CN0101700000000,01,017,2007,15474.0,14469.0,1005.0,6.5,Chambers , AL,01017
9,CN0101900000000,01,019,2007,11984.0,11484.0,500.0,4.2,Cherokee , AL,01019
10,CN0102100000000,01,021,2007,19737.0,19067.0,670.0,3.4,Chilton , AL,01021
11,CN0102300000000,01,023,2007,5183.0,4875.0,308.0,5.9,Choctaw , AL,01023
12,CN0102500000000,01,025,2007,10358.0,9730.0,628.0,6.1,Clarke , AL,01025
13,CN0102700000000,01,027,2007,6113.0,5775.0,338.0,5.5,Clay , AL,01027
14,CN0102900000000,01,029,2007,6483.0,6246.0,237.0,3.7,Cleburne , AL,01029
15,CN0103100000000,01,031,2007,21077.0,20275.0,802.0,3.8,Coffee , AL,01031
16,CN0103300000000,01,033,2007,25386.0,24216.0,1170.0,4.6,Colbert , AL,01033
17,CN0103500000000,01,035,2007,4965.0,4646.0,319.0,6.4,Conecuh , AL,01035
18,CN0103700000000,01,037,2007,4686.0,4415.0,271.0,5.8,Coosa , AL,01037
19,CN0103900000000,01,039,2007,17070.0,16409.0,661.0,3.9,Covington , AL,01039
20,CN0104100000000,01,041,2007,6546.0,6264.0,282.0,4.3,Crenshaw , AL,01041
21,CN0104300000000,01,043,2007,39367.0,38047.0,1320.0,3.4,Cullman , AL,01043
22,CN0104500000000,01,045,2007,20250.0,19450.0,800.0,4.0,Dale , AL,01045
23,CN0104700000000,01,047,2007,15555.0,14259.0,1296.0,8.3,Dallas , AL,01047
24,CN0104900000000,01,049,2007,31013.0,29689.0,1324.0,4.3,DeKalb , AL,01049
25,CN0105100000000,01,051,2007,35805.0,34620.0,1185.0,3.3,Elmore , AL,01051
26,CN0105300000000,01,053,2007,14288.0,13530.0,758.0,5.3,Escambia , AL,01053
27,CN0105500000000,01,055,2007,45459.0,43431.0,2028.0,4.5,Etowah , AL,01055
28,CN0105700000000,01,057,2007,7387.0,7039.0,348.0,4.7,Fayette , AL,01057
29,CN0105900000000,01,059,2007,13742.0,13108.0,634.0,4.6,Franklin , AL,01059
30,CN0106100000000,01,061,2007,11535.0,11137.0,398.0,3.5,Geneva , AL,01061
31,CN0106300000000,01,063,2007,3284.0,3075.0,209.0,6.4,Greene , AL,01063
32,CN0106500000000,01,065,2007,6976.0,6602.0,374.0,5.4,Hale , AL,01065
33,CN0106700000000,01,067,2007,7540.0,7135.0,405.0,5.4,Henry , AL,01067
34,CN0106900000000,01,069,2007,47179.0,45607.0,1572.0,3.3,Houston , AL,01069
35,CN0107100000000,01,071,2007,27020.0,25799.0,1221.0,4.5,Jackson , AL,01071
36,CN0107300000000,01,073,2007,314739.0,302603.0,12136.0,3.9,Jefferson , AL,01073
37,CN0107500000000,01,075,2007,5854.0,5488.0,366.0,6.3,Lamar , AL,01075
38,CN0107700000000,01,077,2007,43257.0,41389.0,1868.0,4.3,Lauderdale , AL,01077
39,CN0107900000000,01,079,2007,15807.0,15160.0,647.0,4.1,Lawrence , AL,01079
40,CN0108100000000,01,081,2007,65326.0,62949.0,2377.0,3.6,Lee , AL,01081
41,CN0108300000000,01,083,2007,36340.0,35123.0,1217.0,3.3,Limestone , AL,01083
42,CN0108500000000,01,085,2007,4758.0,4400.0,358.0,7.5,Lowndes , AL,01085
43,CN0108700000000,01,087,2007,8865.0,8385.0,480.0,5.4,Macon , AL,01087
44,CN0108900000000,01,089,2007,165286.0,160218.0,5068.0,3.1,Madison , AL,01089
45,CN0109100000000,01,091,2007,8150.0,7718.0,432.0,5.3,Marengo , AL,01091
46,CN0109300000000,01,093,2007,12974.0,12297.0,677.0,5.2,Marion , AL,01093
47,CN0109500000000,01,095,2007,41311.0,39890.0,1421.0,3.4,Marshall , AL,01095
48,CN0109700000000,01,097,2007,184490.0,177096.0,7394.0,4.0,Mobile , AL,01097
49,CN0109900000000,01,099,2007,8945.0,8369.0,576.0,6.4,Monroe , AL,01099
50,CN0110100000000,01,101,2007,106156.0,101798.0,4358.0,4.1,Montgomery , AL,01101
51,CN0110300000000,01,103,2007,56642.0,54654.0,1988.0,3.5,Morgan , AL,01103
52,CN0110500000000,01,105,2007,3543.0,3244.0,299.0,8.4,Perry , AL,01105
53,CN0110700000000,01,107,2007,8015.0,7613.0,402.0,5.0,Pickens , AL,01107
54,CN0110900000000,01,109,2007,15575.0,14947.0,628.0,4.0,Pike , AL,01109
55,CN0111100000000,01,111,2007,9487.0,9005.0,482.0,5.1,Randolph , AL,01111
56,CN0111300000000,01,113,2007,21734.0,20414.0,1320.0,6.1,Russell , AL,01113
57,CN0111500000000,01,115,2007,36040.0,34813.0,1227.0,3.4,St. Clair , AL,01115
58,CN0111700000000,01,117,2007,99647.0,97043.0,2604.0,2.6,Shelby , AL,01117
59,CN0111900000000,01,119,2007,4778.0,4466.0,312.0,6.5,Sumter , AL,01119
60,CN0112100000000,01,121,2007,38922.0,36898.0,2024.0,5.2,Talladega , AL,01121
61,CN0112300000000,01,123,2007,18311.0,17340.0,971.0,5.3,Tallapoosa , AL,01123
62,CN0112500000000,01,125,2007,89008.0,86080.0,2928.0,3.3,Tuscaloosa , AL,01125
63,CN0112700000000,01,127,2007,29056.0,27800.0,1256.0,4.3,Walker , AL,01127
64,CN0112900000000,01,129,2007,7002.0,6586.0,416.0,5.9,Washington , AL,01129
65,CN0113100000000,01,131,2007,3438.0,3106.0,332.0,9.7,Wilcox , AL,01131
66,CN0113300000000,01,133,2007,10287.0,9712.0,575.0,5.6,Winston , AL,01133
67,CN0201300000000,02,013,2007,1094.0,1007.0,87.0,8.0,Aleutians East Borough, AK,02013
68,CN0201600000000,02,016,2007,3085.0,2917.0,168.0,5.4,Aleutians West Census Area, AK,02016
69,CN0202000000000,02,020,2007,151051.0,143336.0,7715.0,5.1,Anchorage Borough/municipality, AK,02020
70,CN0205000000000,02,050,2007,6951.0,6062.0,889.0,12.8,Bethel Census Area, AK,02050
71,CN0206000000000,02,060,2007,1064.0,1014.0,50.0,4.7,Bristol Bay Borough, AK,02060
72,CN0206800000000,02,068,2007,1602.0,1502.0,100.0,6.2,Denali Borough, AK,02068
73,CN0207000000000,02,070,2007,2045.0,1858.0,187.0,9.1,Dillingham Census Area, AK,02070
74,CN0209000000000,02,090,2007,45385.0,42858.0,2527.0,5.6,Fairbanks North Star Borough, AK,02090
75,CN0210000000000,02,100,2007,1446.0,1339.0,107.0,7.4,Haines Borough, AK,02100
76,CN0211000000000,02,110,2007,18459.0,17626.0,833.0,4.5,Juneau Borough/city, AK,02110
77,CN0212200000000,02,122,2007,25700.0,23674.0,2026.0,7.9,Kenai Peninsula Borough, AK,02122
78,CN0213000000000,02,130,2007,8222.0,7757.0,465.0,5.7,Ketchikan Gateway Borough, AK,02130
79,CN0215000000000,02,150,2007,6141.0,5756.0,385.0,6.3,Kodiak Island Borough, AK,02150
80,CN0215800000000,02,158,2007,2584.0,2057.0,527.0,20.4,Kusilvak Census Area, AK,02158
81,CN0216400000000,02,164,2007,1166.0,1102.0,64.0,5.5,Lake and Peninsula Borough, AK,02164
82,CN0217000000000,02,170,2007,39800.0,36934.0,2866.0,7.2,Matanuska-Susitna Borough, AK,02170
83,CN0218000000000,02,180,2007,3796.0,3374.0,422.0,11.1,Nome Census Area, AK,02180
84,CN0218500000000,02,185,2007,4672.0,4420.0,252.0,5.4,North Slope Borough, AK,02185
85,CN0218800000000,02,188,2007,2968.0,2646.0,322.0,10.8,Northwest Arctic Borough, AK,02188
